instrument,datetime,field,value
ETH-USD,2017-11-26,$ma30,
ETH-USD,2017-11-26,$ma60,
ETH-USD,2017-11-26,$ma120,
ETH-USD,2017-11-26,$ema5,443.20288691258526
ETH-USD,2017-11-26,$ema10,410.6806178582043
ETH-USD,2017-11-26,$ema20,377.97603844679554
ETH-USD,2017-11-26,$ema60,343.6558047571304
ETH-USD,2017-11-26,$ema12,401.62804147010417
ETH-USD,2017-11-26,$ema26,367.5425222589908
ETH-USD,2017-11-26,$macd,34.085519211113365
ETH-USD,2017-11-26,$macd_signal,18.71941994604523
ETH-USD,2017-11-26,$macd_hist,15.366099265068133
ETH-USD,2017-11-26,$vwap,371.9390447979074
ETH-USD,2017-11-27,$open,471.531005859375
ETH-USD,2017-11-27,$high,493.4049987792969
ETH-USD,2017-11-27,$low,468.4849853515625
ETH-USD,2017-11-27,$close,480.3550109863281
ETH-USD,2017-11-27,$volume,1396480000.0
ETH-USD,2017-11-27,$ma5,
ETH-USD,2017-11-27,$ma10,
ETH-USD,2017-11-27,$ma20,
ETH-USD,2017-11-27,$ma30,
ETH-USD,2017-11-27,$ma60,
ETH-USD,2017-11-27,$ma120,
ETH-USD,2017-11-27,$ema5,455.5869282704996
ETH-USD,2017-11-27,$ema10,423.34868933604497
ETH-USD,2017-11-27,$ema20,387.72641678389385
ETH-USD,2017-11-27,$ema60,348.13774594497295
ETH-USD,2017-11-27,$ema12,413.7398829341386
ETH-USD,2017-11-27,$ema26,375.89900290546024
ETH-USD,2017-11-27,$macd,37.840880028678384
ETH-USD,2017-11-27,$macd_signal,22.543711962571862
ETH-USD,2017-11-27,$macd_hist,15.297168066106522
ETH-USD,2017-11-27,$vwap,379.1637439153133
ETH-USD,2017-11-28,$open,480.51800537109375
ETH-USD,2017-11-28,$high,482.4800109863281
ETH-USD,2017-11-28,$low,466.34698486328125
ETH-USD,2017-11-28,$close,472.9020080566406
ETH-USD,2017-11-28,$volume,1346499968.0
ETH-USD,2017-11-28,$ma5,
ETH-USD,2017-11-28,$ma10,
ETH-USD,2017-11-28,$ma20,
ETH-USD,2017-11-28,$ma30,
ETH-USD,2017-11-28,$ma60,
ETH-USD,2017-11-28,$ma120,
ETH-USD,2017-11-28,$ema5,461.35862153254664
ETH-USD,2017-11-28,$ema10,432.35838364888053
ETH-USD,2017-11-28,$ema20,395.8383778574888
ETH-USD,2017-11-28,$ema60,352.2283774896178
ETH-USD,2017-11-28,$ema12,422.84174833760045
ETH-USD,2017-11-28,$ema26,383.08441069443654
ETH-USD,2017-11-28,$macd,39.75733764316391
ETH-USD,2017-11-28,$macd_signal,25.986437098690274
ETH-USD,2017-11-28,$macd_hist,13.770900544473633
ETH-USD,2017-11-28,$vwap,384.8645410329728
ETH-USD,2017-11-29,$open,473.281005859375
ETH-USD,2017-11-29,$high,522.3070068359375
ETH-USD,2017-11-29,$low,425.0710144042969
ETH-USD,2017-11-29,$close,427.52301025390625
ETH-USD,2017-11-29,$volume,2675940096.0
ETH-USD,2017-11-29,$ma5,
ETH-USD,2017-11-29,$ma10,
ETH-USD,2017-11-29,$ma20,
ETH-USD,2017-11-29,$ma30,
ETH-USD,2017-11-29,$ma60,
ETH-USD,2017-11-29,$ma120,
ETH-USD,2017-11-29,$ema5,450.0800844396665
ETH-USD,2017-11-29,$ema10,431.47922484979426
ETH-USD,2017-11-29,$ema20,398.85596189524284
ETH-USD,2017-11-29,$ema60,354.69705397369285
ETH-USD,2017-11-29,$ema12,423.5619424785706
ETH-USD,2017-11-29,$ema26,386.3761588099528
ETH-USD,2017-11-29,$macd,37.18578366861777
ETH-USD,2017-11-29,$macd_signal,28.226306412675775
ETH-USD,2017-11-29,$macd_hist,8.959477255941998
ETH-USD,2017-11-29,$vwap,392.707848533426
ETH-USD,2017-11-30,$open,431.2149963378906
ETH-USD,2017-11-30,$high,465.49700927734375
ETH-USD,2017-11-30,$low,401.2430114746094
ETH-USD,2017-11-30,$close,447.114013671875
ETH-USD,2017-11-30,$volume,1903040000.0
ETH-USD,2017-11-30,$ma5,
ETH-USD,2017-11-30,$ma10,
ETH-USD,2017-11-30,$ma20,
ETH-USD,2017-11-30,$ma30,
ETH-USD,2017-11-30,$ma60,
ETH-USD,2017-11-30,$ma120,
ETH-USD,2017-11-30,$ema5,449.09139418373604
ETH-USD,2017-11-30,$ema10,434.3219137265362
ETH-USD,2017-11-30,$ema20,403.45196682635066
ETH-USD,2017-11-30,$ema60,357.7271182260923
ETH-USD,2017-11-30,$ema12,427.1853380467713
